n_cities,density,alpha,beta,seed,baseline_cost,my_cost,improvement_pct,wins,path_len
10,0.1,0.0,0.0,42,101.95836047165375,20.789981389187503,79.6093412124183,True,13
10,0.1,0.0,1.0,42,39.95836047165375,7.7899813891875045,80.50475220395073,True,13
10,0.1,0.0,2.0,42,39.95836047165375,7.7899813891875045,80.50475220395073,True,13
10,0.1,0.0,3.0,42,39.95836047165375,7.7899813891875045,80.50475220395073,True,13
10,0.1,0.0,4.0,42,39.95836047165375,7.7899813891875045,80.50475220395073,True,13
10,0.1,0.5,0.0,42,101.95836047165375,20.789981389187503,79.6093412124183,True,13
10,0.1,0.5,1.0,42,4894.937198870304,4873.20276027573,0.44401874245885004,True,28
10,0.1,0.5,2.0,42,1183274.3180541473,615361.7837616546,47.99500214171847,True,124
10,0.1,0.5,3.0,42,341524540.6146786,95626940.10049002,71.99997987600543,True,124
10,0.1,0.5,4.0,42,106754795077.00528,16568344269.666393,84.47999993094906,True,124
10,0.1,1.0,0.0,42,101.95836047165375,20.789981389187503,79.6093412124183,True,13
10,0.1,1.0,1.0,42,9749.916037268957,9728.181598674379,0.22291923860162846,True,28
10,0.1,1.0,2.0,42,4732977.397135174,2461207.3848837884,47.99875050378365,True,124
10,0.1,1.0,3.0,42,2732196045.208906,765014961.386874,71.99999748450041,True,124
10,0.1,1.0,4.0,42,1708076720632.7087,265093507115.91162,84.47999999568432,True,124
10,0.1,2.0,0.0,42,101.95836047165375,20.789981389187503,79.6093412124183,True,13
10,0.1,2.0,1.0,42,19459.87371406626,19438.13927547168,0.11168848736602772,True,28
10,0.1,2.0,2.0,42,18931789.713459283,9844589.789372321,47.99968762396799,True,124
10,0.1,2.0,3.0,42,21857568081.96273,6120119131.677943,71.99999968556256,True,124
10,0.1,2.0,4.0,42,27329227529523.97,4241496112655.8345,84.47999999973027,True,124
10,0.1,4.0,0.0,42,101.95836047165375,20.789981389187503,79.6093412124183,True,13
10,0.1,4.0,1.0,42,38879.78906766086,38858.05462906628,0.05590163711215788,True,28
10,0.1,4.0,2.0,42,75727038.97875571,39378119.407326445,47.999921905868405,True,124
10,0.1,4.0,3.0,42,174860544375.99326,48960952494.006485,71.99999996069533,True,124
