n_cities,density,density_used,alpha,beta,trip_limit_used,seed,baseline_cost,my_cost,improvement_pct,wins,path_len
10,0.2,0.2,0.0,0.5,inf,42,16.758314690518368,4.611126740188468,72.48454379009017,True,10
10,0.2,0.2,0.0,1.0,inf,42,16.758314690518368,4.611126740188468,72.48454379009017,True,10
10,0.2,0.2,0.0,2.0,inf,42,16.758314690518368,4.611126740188468,72.48454379009017,True,10
10,0.2,0.2,0.0,4.0,inf,42,16.758314690518368,4.611126740188468,72.48454379009017,True,10
10,0.2,0.2,1.0,0.5,inf,42,301.4662261135219,212.4210123467068,29.5373763471878,True,18
10,0.2,0.2,1.0,1.0,inf,42,4896.286644937196,4888.498906333763,0.15905397637381047,True,20
10,0.2,0.2,1.0,2.0,2.0,42,1835859.980426527,1064664.0311779955,42.00734029124372,True,75
10,0.2,0.2,1.0,4.0,1.0,42,413136080204.0884,102489023331.7195,75.19242974830712,True,75
10,0.2,0.2,2.0,0.5,inf,42,419.3961043398477,296.98300132781986,29.187944700800863,True,18
10,0.2,0.2,2.0,1.0,inf,42,9775.814975183872,9768.027236580441,0.07966331833407217,True,20
10,0.2,0.2,2.0,2.0,2.0,42,7343389.646762038,4258557.136335793,42.008291249892444,True,75
10,0.2,0.2,2.0,4.0,1.0,42,6610177283014.039,1639824372812.57,75.19242975485129,True,75
10,0.2,0.2,4.0,0.5,inf,42,586.1741375365253,416.57171300615414,28.933795210267704,True,18
10,0.2,0.2,4.0,1.0,inf,42,19534.871635677227,19527.083897073797,0.039865829418646415,True,20
10,0.2,0.2,4.0,2.0,2.0,42,29373508.312104076,17034129.556966987,42.00852899158915,True,75
10,0.2,0.2,4.0,4.0,1.0,42,105762836527973.27,26237189964506.19,75.1924297552603,True,75
10,0.5,0.5,0.0,0.5,inf,42,8.155484848190437,4.199764129062456,48.5038080845149,True,10
10,0.5,0.5,0.0,1.0,inf,42,8.155484848190437,4.209147906924449,48.388747140418175,True,11
10,0.5,0.5,0.0,2.0,inf,42,8.155484848190437,4.209147906924449,48.388747140418175,True,11
10,0.5,0.5,0.0,4.0,inf,42,8.155484848190437,4.199764129062456,48.5038080845149,True,10
10,0.5,0.5,1.0,0.5,inf,42,150.7734482878431,133.68441526094193,11.334245665242285,True,17
10,0.5,0.5,1.0,1.0,inf,42,2100.6773475348546,2099.220790300725,0.06933750372653123,True,18
10,0.5,0.5,1.0,2.0,3.0,42,551113.6478451367,319657.49653866375,41.99789865692317,True,44
10,0.5,0.5,1.0,4.0,1.0,42,52791256744.44061,13102789938.256935,75.17999997293722,True,44
10,0.5,0.5,2.0,0.5,inf,42,209.84774298257744,186.4991262786313,11.126455959016269,True,17
10,0.5,0.5,2.0,1.0,inf,42,4193.19921022152,4191.742652987389,0.034736180207708134,True,18
10,0.5,0.5,2.0,2.0,3.0,42,2204430.1249260027,1278581.0532455656,41.99947465840023,True,44
10,0.5,0.5,2.0,4.0,1.0,42,844660107788.7175,209644638767.44644,75.17999999830859,True,44
10,0.5,0.5,4.0,0.5,inf,42,293.3914117274958,261.19040689266336,10.975442207129417,True,17
10,0.5,0.5,4.0,1.0,inf,42,8378.242935594848,8376.786378360717,0.017384996416642186,True,18
10,0.5,0.5,4.0,2.0,3.0,42,8817696.033249464,5114275.280073174,41.99986866423563,True,44
10,0.5,0.5,4.0,4.0,1.0,42,13514561724497.146,3354314220034.4785,75.17999999989429,True,44
10,1.0,1.0,0.0,0.5,inf,42,7.33516696002433,2.803338820845271,61.78220841975256,True,10
10,1.0,1.0,0.0,1.0,inf,42,7.33516696002433,2.803338820845271,61.78220841975256,True,10
10,1.0,1.0,0.0,2.0,inf,42,7.33516696002433,2.803338820845271,61.78220841975256,True,10
10,1.0,1.0,0.0,4.0,inf,42,7.33516696002433,2.803338820845271,61.78220841975256,True,10
10,1.0,1.0,1.0,0.5,inf,42,127.74110212121784,119.26034387958313,6.63902072301445,True,14
10,1.0,1.0,1.0,1.0,inf,42,1871.774041700485,1871.774041700485,0.0,False,18
10,1.0,1.0,1.0,2.0,4.0,42,544978.878527408,316098.16548297985,41.99808874481313,True,36
10,1.0,1.0,1.0,4.0,2.0,42,59160486867.93363,14683632853.470873,75.17999997827985,True,36
10,1.0,1.0,2.0,0.5,inf,42,177.6148734551997,166.70581896812865,6.141971263359691,True,14
10,1.0,1.0,2.0,1.0,inf,42,3736.2129164409453,3736.2129164409453,0.0,False,18
10,1.0,1.0,2.0,2.0,4.0,42,2179893.508608752,1264348.6509301595,41.99952218137986,True,36
10,1.0,1.0,2.0,4.0,2.0,42,946567789776.9106,234938125435.47894,75.17999999864249,True,36
10,1.0,1.0,4.0,0.5,inf,42,248.14703728241136,233.8038533115847,5.780114938266604,True,14
10,1.0,1.0,4.0,1.0,inf,42,7465.090665921865,7465.090665921865,0.0,False,18
10,1.0,1.0,4.0,2.0,4.0,42,8719552.028934127,5057350.592718877,41.9998805450435,True,36
10,1.0,1.0,4.0,4.0,2.0,42,15145084636320.543,3759010006747.6094,75.17999999991515,True,36
50,0.2,0.2,0.0,0.5,inf,42,53.71581581871165,16.90545153166701,68.52798142595076,True,58
50,0.2,0.2,0.0,1.0,inf,42,53.71581581871165,17.078152480099693,68.2064728612935,True,57
50,0.2,0.2,0.0,2.0,inf,42,53.71581581871165,17.078152480099693,68.2064728612935,True,57
50,0.2,0.2,0.0,4.0,inf,42,53.71581581871165,16.90545153166701,68.52798142595076,True,58
50,0.2,0.2,1.0,0.5,inf,42,1121.833470703512,885.1121920431162,21.10128506969449,True,112
50,0.2,0.2,1.0,1.0,inf,42,12897.326905432597,12885.942835766928,0.08826689242772182,True,164
50,0.2,0.2,1.0,2.0,2.0,42,2623731.8234160133,1521840.7340397504,41.99709282565459,True,428
50,0.2,0.2,1.0,4.0,1.0,42,232213155897.15848,57635305387.77409,75.17999995947717,True,428
50,0.2,0.2,2.0,0.5,inf,42,1564.2622895669413,1215.7634930977554,22.278795493156466,True,112
50,0.2,0.2,2.0,1.0,inf,42,25740.937995046475,25729.91166330664,0.04283578066174877,True,166
50,0.2,0.2,2.0,2.0,2.0,42,10494766.146216597,6087040.641264087,41.999273195253735,True,428
50,0.2,0.2,2.0,4.0,1.0,42,3715410493548.799,922164884592.9114,75.17999999746733,True,428
50,0.2,0.2,4.0,0.5,inf,42,2189.951125588312,1766.3954808637989,19.340872030225267,True,112
50,0.2,0.2,4.0,1.0,inf,42,51428.16017427424,51417.71298279219,0.020314145881655088,True,168
50,0.2,0.2,4.0,2.0,2.0,42,41978903.437418945,24347840.270161454,41.99981829811591,True,428
50,0.2,0.2,4.0,4.0,1.0,42,59446567895975.03,14754638151875.1,75.17999999984171,True,428
50,0.5,0.5,0.0,0.5,inf,42,38.351877327160345,9.325562625455369,75.68420824382666,True,59
50,0.5,0.5,0.0,1.0,inf,42,38.351877327160345,9.172038650977232,76.08451191910311,True,59
50,0.5,0.5,0.0,2.0,inf,42,38.351877327160345,9.322171416868633,75.6930505973777,True,55
50,0.5,0.5,0.0,4.0,inf,42,38.351877327160345,9.317881510797214,75.70423624556601,True,55
50,0.5,0.5,1.0,0.5,inf,42,817.1739391553682,674.4885056846829,17.46083993062299,True,99
50,0.5,0.5,1.0,1.0,inf,42,9408.5797777541,9398.908161100471,0.10279571287152009,True,124
50,0.5,0.5,1.0,2.0,3.0,42,1876144.038668881,1038663.7815830768,44.63837742863251,True,304
50,0.5,0.5,1.0,4.0,1.0,42,134559836260.81912,27055329234.891014,79.89345856333438,True,301
50,0.5,0.5,2.0,0.5,inf,42,1139.7725998399885,937.2844292496169,17.76566401217214,True,97
50,0.5,0.5,2.0,1.0,inf,42,18778.807678181034,18772.06305314207,0.035916151624484034,True,132
50,0.5,0.5,2.0,2.0,3.0,42,7504461.099043543,4156699.2142940587,44.61029034018396,True,307
50,0.5,0.5,2.0,4.0,1.0,42,2152957379597.8276,433758873725.3047,79.8528815370079,True,306
50,0.5,0.5,4.0,0.5,inf,42,1595.9960009835752,1301.7661236208585,18.435502168012306,True,104
50,0.5,0.5,4.0,1.0,inf,42,37519.263479034904,37511.08353154008,0.02180199379286406,True,132
50,0.5,0.5,4.0,2.0,3.0,42,30017729.340542194,16618423.2767975,44.63797348471485,True,305
50,0.5,0.5,4.0,4.0,1.0,42,34447318072989.965,6935091852009.6875,79.86754197434178,True,306
50,1.0,1.0,0.0,0.5,inf,42,35.708865380858974,6.227115195787972,82.56143081172807,True,50
50,1.0,1.0,0.0,1.0,inf,42,35.708865380858974,6.268900648388417,82.44441378485037,True,50
50,1.0,1.0,0.0,2.0,inf,42,35.708865380858974,6.1917775092629,82.66039135317395,True,50
50,1.0,1.0,0.0,4.0,inf,42,35.708865380858974,5.998856057826041,83.20065341241111,True,50
50,1.0,1.0,1.0,0.5,inf,42,646.4335753900747,561.6098694084769,13.121797692889473,True,69
50,1.0,1.0,1.0,1.0,inf,42,8662.894218688041,8658.240408905216,0.053721189077730554,True,87
50,1.0,1.0,1.0,2.0,4.0,42,2121786.14381273,1189952.2088207104,43.9174295538365,True,187
50,1.0,1.0,1.0,4.0,2.0,42,207399995524.65204,47664965822.50241,77.01785590596272,True,182
50,1.0,1.0,2.0,0.5,inf,42,899.4040331522673,791.9967848358567,11.942046550532506,True,70
50,1.0,1.0,2.0,1.0,inf,42,17290.079571995222,17286.890470453218,0.01844468979292382,True,88
50,1.0,1.0,2.0,2.0,4.0,42,8487037.448654776,4761166.963319324,43.900719277797165,True,186
50,1.0,1.0,2.0,4.0,2.0,42,3318399927858.799,762199873786.7843,77.03110262907357,True,182
50,1.0,1.0,4.0,0.5,inf,42,1257.15828539929,1109.3442910683912,11.757787070062633,True,69
50,1.0,1.0,4.0,1.0,inf,42,34544.45027860959,34542.100370438435,0.006802563515133505,True,91
50,1.0,1.0,4.0,2.0,4.0,42,33948042.668022975,19025777.20761705,43.95618800862946,True,185
50,1.0,1.0,4.0,4.0,2.0,42,53094398845205.164,12200743846978.877,77.0206573342139,True,182
100,0.2,0.2,0.0,0.5,inf,42,107.50161884225957,19.418953784364398,81.93612896857077,True,112
100,0.2,0.2,0.0,1.0,inf,42,107.50161884225957,19.903496292391768,81.48539853934965,True,115
100,0.2,0.2,0.0,2.0,inf,42,107.50161884225957,19.77291668670222,81.60686611081121,True,114
100,0.2,0.2,0.0,4.0,inf,42,107.50161884225957,19.52653526000406,81.83605468429647,True,114
100,0.2,0.2,1.0,0.5,inf,42,2231.047939971318,1618.404292530321,27.459905117452255,True,229
100,0.2,0.2,1.0,1.0,inf,42,25266.40561851071,25240.25300396774,0.10350745942197148,True,367
100,0.2,0.2,1.0,2.0,2.0,42,5334401.927002504,3094105.7699602093,41.9971383427637,True,956
100,0.2,0.2,1.0,4.0,1.0,42,501897577289.0294,124570978871.45851,75.17999996247812,True,956
100,0.2,0.2,2.0,0.5,inf,42,3110.6496265104656,2334.4110520534696,24.954227176262933,True,230
100,0.2,0.2,2.0,1.0,inf,42,50425.309618179184,50400.954982911506,0.04829843475844176,True,378
100,0.2,0.2,2.0,2.0,2.0,42,21337285.203153495,12375778.070127798,41.99928457487765,True,956
100,0.2,0.2,2.0,4.0,1.0,42,8030361235011.951,1993135658718.288,75.17999999765487,True,956
100,0.2,0.2,4.0,0.5,inf,42,4354.594261100378,3242.8046164609714,25.53141757823529,True,228
100,0.2,0.2,4.0,1.0,inf,42,100743.11761751612,100716.17708474954,0.026741809667704806,True,358
100,0.2,0.2,4.0,2.0,2.0,42,85348818.30775744,49502467.27079793,41.999821143043754,True,956
100,0.2,0.2,4.0,4.0,1.0,42,128485779758578.61,31890170536267.51,75.17999999985344,True,956
100,0.5,0.5,0.0,0.5,inf,42,76.83075312140379,12.740928428940535,83.41688983731812,True,112
100,0.5,0.5,0.0,1.0,inf,42,76.83075312140379,12.69879400589295,83.47173040744894,True,110
100,0.5,0.5,0.0,2.0,inf,42,76.83075312140379,12.849935314547485,83.27501060123319,True,114
100,0.5,0.5,0.0,4.0,inf,42,76.83075312140379,12.687693979543283,83.48617778157806,True,109
100,0.5,0.5,1.0,0.5,inf,42,1535.7148727326748,1201.647315385027,21.75322797735252,True,186
100,0.5,0.5,1.0,1.0,inf,42,18811.322295439797,18798.352757004057,0.06894538423215552,True,271
