n_cities,density,density_used,alpha,beta,trip_limit_used,seed,baseline_cost,my_cost,improvement_pct,wins,path_len
10,0.2,0.2,0.0,0.5,inf,42,16.758314690518368,5.0613517623806565,69.79796682512293,True,11
10,0.2,0.2,0.0,1.0,inf,42,16.758314690518368,4.611126740188468,72.48454379009017,True,10
10,0.2,0.2,0.0,2.0,inf,42,16.758314690518368,5.0613517623806565,69.79796682512293,True,11
10,0.2,0.2,0.0,4.0,inf,42,16.758314690518368,4.611126740188468,72.48454379009017,True,10
10,0.2,0.2,1.0,0.5,inf,42,301.4662261135219,212.4210123467068,29.5373763471878,True,18
10,0.2,0.2,1.0,1.0,inf,42,4896.286644937196,4888.498906333763,0.15905397637381047,True,20
10,0.2,0.2,1.0,2.0,2.0,42,1835859.980426527,954390.522695079,48.01398075721742,True,75
10,0.2,0.2,1.0,4.0,1.0,42,413136080204.0884,63956422619.234985,84.51928415750068,True,75
10,0.2,0.2,2.0,0.5,inf,42,419.3961043398477,296.98300132781986,29.187944700800863,True,18
10,0.2,0.2,2.0,1.0,inf,42,9775.814975183872,9768.027236580441,0.07966331833407217,True,20
10,0.2,0.2,2.0,2.0,2.0,42,7343389.646762038,3817463.102404126,48.014972839043324,True,75
10,0.2,0.2,2.0,4.0,1.0,42,6610177283014.039,1023302761412.8177,84.51928416439955,True,75
10,0.2,0.2,4.0,0.5,inf,42,586.1741375365253,416.5717130061541,28.933795210267714,True,18
10,0.2,0.2,4.0,1.0,inf,42,19534.871635677227,19527.083897073797,0.039865829418646415,True,20
10,0.2,0.2,4.0,2.0,2.0,42,29373508.312104076,15269753.421240319,48.0152208616223,True,75
10,0.2,0.2,4.0,4.0,1.0,42,105762836527973.27,16372844182110.15,84.51928416483072,True,75
10,0.5,0.5,0.0,0.5,inf,42,8.155484848190437,4.209147906924449,48.388747140418175,True,11
10,0.5,0.5,0.0,1.0,inf,42,8.155484848190437,4.209147906924449,48.388747140418175,True,11
10,0.5,0.5,0.0,2.0,inf,42,8.155484848190437,4.209147906924449,48.388747140418175,True,11
10,0.5,0.5,0.0,4.0,inf,42,8.155484848190437,4.209147906924449,48.388747140418175,True,11
10,0.5,0.5,1.0,0.5,inf,42,150.7734482878431,133.68441526094196,11.334245665242266,True,17
10,0.5,0.5,1.0,1.0,inf,42,2100.6773475348546,2099.2207903007247,0.06933750372655288,True,18
10,0.5,0.5,1.0,2.0,3.0,42,551113.6478451367,286591.16699704644,47.997809867779075,True,44
10,0.5,0.5,1.0,4.0,1.0,42,52791256744.44061,8193203061.782417,84.47999997150052,True,44
10,0.5,0.5,2.0,0.5,inf,42,209.84774298257744,186.49912627863134,11.126455959016257,True,17
10,0.5,0.5,2.0,1.0,inf,42,4193.19921022152,4191.74265298739,0.03473618020768645,True,18
10,0.5,0.5,2.0,2.0,3.0,42,2204430.1249260027,1146315.7350790966,47.999452460867836,True,44
10,0.5,0.5,2.0,4.0,1.0,42,844660107788.7175,131091248743.85416,84.47999999821879,True,44
10,0.5,0.5,4.0,0.5,inf,42,293.3914117274958,261.19040689266336,10.975442207129417,True,17
10,0.5,0.5,4.0,1.0,inf,42,8378.242935594848,8376.786378360717,0.017384996416642186,True,18
10,0.5,0.5,4.0,2.0,3.0,42,8817696.033249464,4585214.007407296,47.99986311483714,True,44
10,0.5,0.5,4.0,4.0,1.0,42,13514561724497.146,2097459979657.002,84.47999999988868,True,44
10,1.0,1.0,0.0,0.5,inf,42,7.33516696002433,2.803338820845271,61.78220841975256,True,10
10,1.0,1.0,0.0,1.0,inf,42,7.33516696002433,2.803338820845271,61.78220841975256,True,10
10,1.0,1.0,0.0,2.0,inf,42,7.33516696002433,2.803338820845271,61.78220841975256,True,10
10,1.0,1.0,0.0,4.0,inf,42,7.33516696002433,2.803338820845271,61.78220841975256,True,10
10,1.0,1.0,1.0,0.5,inf,42,127.74110212121784,119.26034387958312,6.63902072301446,True,14
10,1.0,1.0,1.0,1.0,inf,42,1871.774041700485,1871.7740417004848,1.2147495925131312e-14,True,18
10,1.0,1.0,1.0,2.0,4.0,42,544978.878527408,283399.87288135296,47.99800798755171,True,36
10,1.0,1.0,1.0,4.0,2.0,42,59160486867.93363,9181707575.435215,84.47999997712677,True,36
10,1.0,1.0,2.0,0.5,inf,42,177.6148734551997,166.70581896812868,6.141971263359675,True,14
10,1.0,1.0,2.0,1.0,inf,42,3736.2129164409453,3736.2129164409457,-1.2171344649160115e-14,False,18
10,1.0,1.0,2.0,2.0,4.0,42,2179893.508608752,1133555.4805236517,47.99950199186071,True,36
10,1.0,1.0,2.0,4.0,2.0,42,946567789776.9106,146907320986.90842,84.47999999857042,True,36
10,1.0,1.0,4.0,0.5,inf,42,248.14703728241136,233.8038533115847,5.780114938266604,True,14
10,1.0,1.0,4.0,1.0,inf,42,7465.090665921865,7465.090665921865,0.0,False,18
10,1.0,1.0,4.0,2.0,4.0,42,8719552.028934127,4534177.911092847,47.999875497650976,True,36
10,1.0,1.0,4.0,4.0,2.0,42,15145084636320.543,2350517135570.48,84.47999999991065,True,36
50,0.2,0.2,0.0,0.5,inf,42,53.71581581871165,16.90545153166701,68.52798142595076,True,58
50,0.2,0.2,0.0,1.0,inf,42,53.71581581871165,17.078152480099693,68.2064728612935,True,57
50,0.2,0.2,0.0,2.0,inf,42,53.71581581871165,16.87797837111863,68.57912681047047,True,56
50,0.2,0.2,0.0,4.0,inf,42,53.71581581871165,16.87797837111863,68.57912681047047,True,56
50,0.2,0.2,1.0,0.5,inf,42,1121.833470703512,887.0583833084148,20.927801988994634,True,117
50,0.2,0.2,1.0,1.0,inf,42,12897.326905432597,12888.180986460935,0.0709132910929786,True,172
50,0.2,0.2,1.0,2.0,2.0,42,2623731.8234160133,1342354.1693533415,48.8379811772973,True,421
50,0.2,0.2,1.0,4.0,1.0,42,232213155897.15848,33336357437.69217,85.64407029011912,True,410
50,0.2,0.2,2.0,0.5,inf,42,1564.2622895669413,1231.4883614447585,21.27353771433751,True,111
50,0.2,0.2,2.0,1.0,inf,42,25740.937995046475,25730.386514882728,0.040991047668029156,True,168
50,0.2,0.2,2.0,2.0,2.0,42,10494766.146216597,5361436.124945237,48.91323874922115,True,422
50,0.2,0.2,2.0,4.0,1.0,42,3715410493548.799,533410333524.5038,85.64330012926746,True,412
50,0.2,0.2,4.0,0.5,inf,42,2189.951125588312,1702.2559075070412,22.269685034649147,True,105
50,0.2,0.2,4.0,1.0,inf,42,51428.16017427424,51416.1969643509,0.023261983090203064,True,162
50,0.2,0.2,4.0,2.0,2.0,42,41978903.437418945,21445427.751579862,48.91379718017135,True,422
50,0.2,0.2,4.0,4.0,1.0,42,59446567895975.03,8538204096314.819,85.63717906935227,True,420
50,0.5,0.5,0.0,0.5,inf,42,38.351877327160345,9.266121834588068,75.83919620011427,True,55
50,0.5,0.5,0.0,1.0,inf,42,38.351877327160345,9.304929200468598,75.73800854364185,True,55
50,0.5,0.5,0.0,2.0,inf,42,38.351877327160345,9.247961658790762,75.886547665187,True,59
50,0.5,0.5,0.0,4.0,inf,42,38.351877327160345,9.317881510797214,75.70423624556601,True,55
50,0.5,0.5,1.0,0.5,inf,42,817.1739391553682,652.7276568650941,20.12377957870829,True,92
50,0.5,0.5,1.0,1.0,inf,42,9408.5797777541,9399.548926451587,0.09598527637364365,True,130
50,0.5,0.5,1.0,2.0,3.0,42,1876144.038668881,924349.8432686467,50.73140312166701,True,298
50,0.5,0.5,1.0,4.0,1.0,42,134559836260.81912,16323283926.097897,87.86912619716757,True,298
50,0.5,0.5,2.0,0.5,inf,42,1139.7725998399885,924.5512628460493,18.88283127916515,True,99
50,0.5,0.5,2.0,1.0,inf,42,18778.807678181034,18770.25150362583,0.04556292764606888,True,129
50,0.5,0.5,2.0,2.0,3.0,42,7504461.099043543,3688274.2969469014,50.85224310887588,True,305
50,0.5,0.5,2.0,4.0,1.0,42,2152957379597.8276,271731305448.1178,87.37869555509376,True,296
50,0.5,0.5,4.0,0.5,inf,42,1595.9960009835752,1292.4974142046026,19.016249827188382,True,96
50,0.5,0.5,4.0,1.0,inf,42,37519.263479034904,37511.682960995495,0.020204335950371015,True,134
50,0.5,0.5,4.0,2.0,3.0,42,30017729.340542194,14774068.076899886,50.78219305233754,True,306
50,0.5,0.5,4.0,4.0,1.0,42,34447318072989.965,4177979831203.059,87.87139299973835,True,302
50,1.0,1.0,0.0,0.5,inf,42,35.708865380858974,6.117793540513845,82.86757791023747,True,50
50,1.0,1.0,0.0,1.0,inf,42,35.708865380858974,6.333468362822304,82.26359674195297,True,50
50,1.0,1.0,0.0,2.0,inf,42,35.708865380858974,5.993184834266948,83.21653524875234,True,50
50,1.0,1.0,0.0,4.0,inf,42,35.708865380858974,5.715645304305564,83.99376389211929,True,50
50,1.0,1.0,1.0,0.5,inf,42,646.4335753900747,561.6098694084772,13.121797692889439,True,69
50,1.0,1.0,1.0,1.0,inf,42,8662.894218688041,8658.323273929289,0.05276463781459662,True,86
50,1.0,1.0,1.0,2.0,4.0,42,2121786.14381273,1051213.4216829254,50.45620291430718,True,185
50,1.0,1.0,1.0,4.0,2.0,42,207399995524.65204,27907742820.499832,86.54400027834974,True,181
50,1.0,1.0,2.0,0.5,inf,42,899.4040331522673,789.0738992322173,12.267026814785401,True,69
50,1.0,1.0,2.0,1.0,inf,42,17290.079571995222,17286.7749911743,0.019112583069156346,True,88
50,1.0,1.0,2.0,2.0,4.0,42,8487037.448654776,4199782.088406735,50.51533454618591,True,185
50,1.0,1.0,2.0,4.0,2.0,42,3318399927858.799,448452501471.20984,86.48588141211255,True,181
50,1.0,1.0,4.0,0.5,inf,42,1257.15828539929,1107.6963697170397,11.888870114297436,True,69
50,1.0,1.0,4.0,1.0,inf,42,34544.45027860959,34542.10037043843,0.006802563515154567,True,91
50,1.0,1.0,4.0,2.0,4.0,42,33948042.668022975,16771416.970252356,50.59680720252532,True,185
50,1.0,1.0,4.0,4.0,2.0,42,53094398845205.164,7203696952900.648,86.4322845543411,True,181
100,0.2,0.2,0.0,0.5,inf,42,107.50161884225957,19.597039504746324,81.77047032798487,True,113
100,0.2,0.2,0.0,1.0,inf,42,107.50161884225957,19.86251665543236,81.52351855782075,True,118
100,0.2,0.2,0.0,2.0,inf,42,107.50161884225957,20.021616976870014,81.3755204875116,True,112
100,0.2,0.2,0.0,4.0,inf,42,107.50161884225957,19.930331253541304,81.46043616070034,True,119
100,0.2,0.2,1.0,0.5,inf,42,2231.047939971318,1661.2250305001444,25.540594590652287,True,228
100,0.2,0.2,1.0,1.0,inf,42,25266.40561851071,25235.302670448542,0.12310001086732524,True,340
100,0.2,0.2,1.0,2.0,2.0,42,5334401.927002504,2678489.007214583,49.788391578516205,True,938
100,0.2,0.2,1.0,4.0,1.0,42,501897577289.0294,59086882490.97623,88.22730270782925,True,917
100,0.2,0.2,2.0,0.5,inf,42,3110.6496265104656,2256.054347421831,27.473209190947085,True,226
100,0.2,0.2,2.0,1.0,inf,42,50425.309618179184,50398.524320566445,0.05311875686150098,True,365
100,0.2,0.2,2.0,2.0,2.0,42,21337285.203153495,10706816.979132522,49.82109074705468,True,928
100,0.2,0.2,2.0,4.0,1.0,42,8030361235011.951,936449516961.572,88.33863770811826,True,906
100,0.2,0.2,4.0,0.5,inf,42,4354.594261100378,3205.997984630097,26.376654347127126,True,232
100,0.2,0.2,4.0,1.0,inf,42,100743.11761751612,100715.35688973691,0.02755595462571375,True,356
100,0.2,0.2,4.0,2.0,2.0,42,85348818.30775744,42972893.73066394,49.65027684893196,True,945
100,0.2,0.2,4.0,4.0,1.0,42,128485779758578.61,15230580440749.365,88.14609642454813,True,905
100,0.5,0.5,0.0,0.5,inf,42,76.83075312140379,12.687693979543283,83.48617778157806,True,109
100,0.5,0.5,0.0,1.0,inf,42,76.83075312140379,12.722222802130492,83.44123637311283,True,109
100,0.5,0.5,0.0,2.0,inf,42,76.83075312140379,12.66222261984084,83.51933033920325,True,109
100,0.5,0.5,0.0,4.0,inf,42,76.83075312140379,12.796808666978183,83.34415823471448,True,110
100,0.5,0.5,1.0,0.5,inf,42,1535.7148727326748,1222.9585674346326,20.365519072008386,True,194
100,0.5,0.5,1.0,1.0,inf,42,18811.322295439797,18799.897320675078,0.06073456498849473,True,275
100,0.5,0.5,1.0,2.0,3.0,42,4696149.778603789,2157814.6904715807,54.05140823440432,True,594
100,0.5,0.5,1.0,4.0,1.0,42,564325723705.0867,56807516837.0078,89.93355885603842,True,592
100,0.5,0.5,2.0,0.5,inf,42,2140.0044610063965,1672.65918566083,21.83851874429198,True,188
100,0.5,0.5,2.0,1.0,inf,42,37545.81383775821,37532.065104729045,0.036618551108182094,True,262
100,0.5,0.5,2.0,2.0,3.0,42,18784368.622155804,8642038.172775188,53.9934594203924,True,596
100,0.5,0.5,2.0,4.0,1.0,42,9029211578128.924,914891689338.2367,89.86742439888839,True,589
100,0.5,0.5,4.0,0.5,inf,42,2994.598992343947,2387.37974422308,20.277147279929512,True,189
100,0.5,0.5,4.0,1.0,inf,42,75014.796922395,75002.27691225453,0.016690054034845168,True,268
100,0.5,0.5,4.0,2.0,3.0,42,75137243.99636383,34295677.59014998,54.35595482872693,True,591
100,0.5,0.5,4.0,4.0,1.0,42,144467385248910.28,14669197751888.635,89.84601422209288,True,596
100,1.0,1.0,0.0,0.5,inf,42,74.45312928140083,9.145082072219914,87.71699435539449,True,100
100,1.0,1.0,0.0,1.0,inf,42,74.45312928140083,9.514147140884447,87.22129313742467,True,100
100,1.0,1.0,0.0,2.0,inf,42,74.45312928140083,8.744040586396544,88.25564395910366,True,100
100,1.0,1.0,0.0,4.0,inf,42,74.45312928140083,9.119805072674058,87.75094457318899,True,100
100,1.0,1.0,1.0,0.5,inf,42,1292.6308177628093,1075.5773418084316,16.7916061548059,True,137
100,1.0,1.0,1.0,1.0,inf,42,18266.185795826725,18256.776776030063,0.05151058848208625,True,175
100,1.0,1.0,1.0,2.0,4.0,42,5404978.08899582,2626489.232719182,51.4061076756899,True,370
100,1.0,1.0,1.0,4.0,2.0,42,793337760921.4327,107513777409.72029,86.44791881772437,True,369
100,1.0,1.0,2.0,0.5,inf,42,1797.2165377121157,1514.2662078043397,15.743808493325803,True,138
